number,value,state,learning_rate,contrastive_margin,hidden_channels,cross_modal_num_heads
0,0.1994308903813362,COMPLETE,0.00011982684796532967,1.4866226468345218,128,2
1,0.5276904404163361,COMPLETE,0.0003035503305327441,1.9400836139061042,32,2
2,0.1441388949751854,COMPLETE,0.0001900099497798031,1.1944302553263546,96,2
3,0.11980589851737022,COMPLETE,2.3862475810692295e-05,0.93230020070729,32,2
4,0.039868250489234924,COMPLETE,2.195216058148143e-05,0.6271104876843326,64,8
5,0.37523719668388367,COMPLETE,0.0034439883636156327,1.9394366731554464,32,2
6,0.3254357948899269,COMPLETE,0.0003506332218962184,1.6374944042367878,64,8
7,0.21112318336963654,COMPLETE,0.00030655276137290746,1.440419452056983,96,8
8,0.1265290193259716,COMPLETE,0.00014658660121356085,1.0594639934535088,64,8
9,0.25123389065265656,COMPLETE,0.0018116405447551043,1.4380073116929202,32,4
10,0.027167346328496933,COMPLETE,1.9610552159231027e-05,0.5010294719255317,64,4
11,0.03272346965968609,COMPLETE,1.1553591870059063e-05,0.565279197092206,64,4
12,0.027647834736853838,COMPLETE,1.0022733050825433e-05,0.5059944687285339,64,4
13,0.06842086277902126,COMPLETE,4.974833327268192e-05,0.7917638159885168,64,4
14,0.03252812661230564,COMPLETE,1.3280327084532426e-05,0.5138016678323583,128,4
15,0.07207276672124863,COMPLETE,4.9621772083204e-05,0.808625627407114,64,4
16,0.0569301787763834,COMPLETE,4.8317766259272076e-05,0.7339500724394664,64,4
17,0.11887956410646439,COMPLETE,0.000790594934878012,1.010987421481064,64,4
18,0.023530483711510897,COMPLETE,0.008344970390913057,0.5048008809284353,128,4
19,0.15591548010706902,COMPLETE,0.0037236566485303016,1.2096260459924573,128,4
